race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202506050101,,,1200,ダート,良,1,4,6,ビップムーラン,牝2,55,戸崎圭太,1:12.2,,1-1,37.2,1.7,1,460(0),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,2,3,5,アンバサダネージュ,牡2,53,佐藤翔馬,1:12.3,1/2,2-2,37.0,9.0,4,498(+8),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,3,7,13,コウユーニポポニコ,牝2,55,木幡初也,1:13.4,7,8-7,37.8,77.0,9,454(+10),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,4,5,8,リケアペンネ,牝2,55,野中悠太,1:13.5,クビ,10-10,37.5,333.8,13,444(+20),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,5,3,4,タイセイガナール,牡2,54,長浜鴻緒,1:13.9,2.1/2,9-7,38.2,14.4,6,476(+4),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,6,7,12,エルドラド,牡2,56,原田和真,1:14.0,クビ,2-2,38.7,202.9,11,474(+6),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,7,6,11,リバテイー,牝2,52,小林美駒,1:14.0,アタマ,11-11,37.7,21.8,7,446(-6),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,8,4,7,リオンアンサー,牝2,55,柴田善臣,1:14.3,2,5-5,38.9,114.4,10,420(-6),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,9,8,14,ポセイドンテソーロ,牡2,56,木幡巧也,1:14.6,1.3/4,5-6,39.2,11.4,5,448(+8),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,10,2,3,ミラクルスパート,牝2,51,谷原柚希,1:15.1,3,5-7,39.6,71.1,8,432(-2),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,11,5,9,アルバニクス,牝2,52,舟山瑠泉,1:15.3,1.1/4,13-13,38.7,585.3,15,462(0),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,12,6,10,ルルマーレ,牝2,55,三浦皇成,1:15.5,1,2-2,40.3,6.5,3,482(+8),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,13,2,2,タマリスペクト,牡2,56,横山琉人,1:15.6,3/4,14-14,38.6,442.0,14,446(+10),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,14,8,15,ミラビリオン,牡2,56,荻野極,1:16.0,2.1/2,11-11,39.7,6.1,2,488(-2),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050102,,,1800,ダート,良,1,5,6,ハニーオーケストラ,牝2,55,横山和生,1:56.4,,9-10-9-2,39.5,8.1,4,442(-4),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,2,6,9,フィクセルリリア,牝2,52,舟山瑠泉,1:56.5,クビ,3-3-2-1,40.3,8.0,3,440(-8),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,3,5,7,イサチルクイーン,牝2,55,木幡初也,1:56.6,1,9-8-7-8,39.9,20.8,7,462(+8),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,4,2,2,イデアクリスタル,牝2,52,石田拓郎,1:56.8,1.1/4,11-11-12-10,39.5,23.7,8,476(-4),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,5,8,12,ルージュアリスタ,牝2,55,マーカン,1:57.0,3/4,5-7-7-6,40.4,2.2,1,494(-2),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,6,8,13,リケアマカロニ,牝2,55,原田和真,1:57.7,4,4-4-4-4,41.3,9.6,6,468(-4),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,7,4,5,タイセイルビー,牝2,55,荻野極,1:57.7,アタマ,5-4-4-6,41.3,8.4,5,462(+4),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,8,1,1,リケアフェデリーニ,牝2,55,小林凌大,1:58.4,4,11-11-10-10,41.3,240.1,13,468(-6),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,9,7,10,パルストリス,牝2,53,長浜鴻緒,1:58.5,1/2,5-8-10-12,41.3,135.8,10,424(+12),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,10,3,3,グラスベリー,牝2,55,木幡巧也,1:58.8,1.1/2,13-13-12-13,41.5,190.8,11,450(+2),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,11,6,8,フュルスティン,牝2,55,横山武史,1:59.2,2.1/2,2-2-1-2,43.1,5.5,2,470(+10),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,12,7,11,ハウスオンファイア,牝2,55,丹内祐次,2:00.1,5,5-4-4-8,43.7,207.6,12,494(+6),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050102,,,1800,ダート,良,13,4,4,フライスカイハイ,牝2,55,佐々木大,2:00.3,1.1/4,1-1-2-4,44.2,26.4,9,418(+4),2025,06,05,01,02,6:810,6:230|9:310|7:440,6 - 9:3280,6 → 9:7370,6 - 9:1050|6 - 7:1510|7 - 9:1620,6 - 7 - 9:12250,6 → 9 → 7:68050
202506050103,,,1600,芝,良,1,7,12,スミッコディスコ,牡2,56,横山和生,1:35.4,,2-2-2,34.1,5.9,2,448(-6),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,2,3,4,ベアサナエチャン,牝2,55,横山武史,1:35.4,ハナ,9-7-7,33.6,6.0,4,438(-2),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,3,6,11,ミナヅキ,牡2,56,石橋脩,1:35.6,1,7-7-8,33.8,21.3,6,456(0),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,4,5,8,ニシノマーレ,牝2,55,津村明秀,1:35.6,クビ,2-4-4,34.1,6.0,3,408(+4),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,5,5,9,ツウキンカイソク,牡2,56,菅原明良,1:35.7,クビ,4-4-4,34.1,28.8,8,458(0),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,6,8,14,アクアマーズ,牡2,56,ルメール,1:35.7,アタマ,7-4-4,34.1,1.8,1,486(-4),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,7,6,10,アースヴィンチ,牝2,55,佐々木大,1:35.7,クビ,1-1-1,34.5,25.8,7,452(+2),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,8,4,7,ガミーヌ,牝2,55,丹内祐次,1:35.9,1,10-10-10,33.9,68.7,9,440(-4),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,9,2,2,エコロセレナ,牝2,55,鮫島克駿,1:36.1,1.1/4,4-7-8,34.3,18.5,5,470(0),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,10,7,13,イバラヒメ,牝2,52,石田拓郎,1:36.2,3/4,10-11-11,33.9,501.6,14,448(-8),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,11,8,15,テンハートビート,牝2,52,遠藤汰月,1:36.3,クビ,4-2-2,34.9,246.1,11,450(-14),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,12,2,3,ピコパープル,牝2,52,舟山瑠泉,1:36.3,クビ,12-11-11,33.9,370.7,12,414(-2),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,13,4,6,ミュークトーマス,牡2,54,長浜鴻緒,1:37.2,5,12-13-13,34.6,415.1,13,386(+16),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,14,3,5,クロムハーツガール,牝2,52,佐藤翔馬,1:37.5,2,14-15-15,34.6,628.2,15,432(+8),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050103,,,1600,芝,良,15,1,1,アージェンタイド,牡2,56,荻野極,1:37.8,1.3/4,14-13-13,35.1,219.0,10,434(+2),2025,06,05,01,03,12:590,12:340|4:330|11:810,4 - 12:1490,12 → 4:3080,4 - 12:540|11 - 12:1290|4 - 11:1330,4 - 11 - 12:6190,12 → 4 → 11:28780
202506050104,,,1800,ダート,良,1,2,3,ショウナンパトス,牡2,56,横山和生,1:54.6,,1-1-1-1,38.7,4.1,3,450(0),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,2,5,9,カシマライフウ,牡2,56,松岡正海,1:54.9,1.3/4,12-12-7-7,37.9,14.7,5,468(-4),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,3,4,8,サイモフェーン,牡2,56,戸崎圭太,1:54.9,アタマ,5-3-2-3,38.8,3.1,1,484(-8),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,4,8,15,トルネードアイル,牡2,56,ルメール,1:54.9,ハナ,2-2-2-2,38.9,3.5,2,498(+10),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,5,8,16,オルブライト,牡2,56,木幡巧也,1:55.1,1.1/4,8-8-5-4,38.3,65.8,8,472(-6),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,6,3,5,キセログラフィカ,牡2,56,マーカン,1:55.8,4,3-4-4-4,39.5,4.7,4,510(+10),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,7,5,10,エマープ,牡2,56,内田博幸,1:56.1,1.1/2,13-13-10-7,38.8,72.7,9,484(-6),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,8,1,2,ホウショウリュウ,牡2,56,杉原誠人,1:56.8,4,10-10-12-10,39.2,337.0,13,462(0),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,9,6,12,テンレディーゴー,牡2,56,佐々木大,1:56.9,1/2,8-8-7-9,39.9,35.6,7,476(-2),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,10,6,11,モントーヤ,牡2,54,長浜鴻緒,1:57.1,1.1/2,11-10-10-10,39.7,112.3,11,482(+2),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,11,3,6,フルールサシェ,牡2,56,津村明秀,1:57.1,クビ,5-5-5-6,40.4,120.7,12,470(+4),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,12,4,7,ミラクルカイザー,牡2,56,丹内祐次,1:57.9,5,14-14-13-13,39.2,524.5,16,486(+2),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,13,7,14,ビップルーク,牡2,53,小林美駒,1:58.2,2,14-16-16-15,38.3,382.4,14,482(+2),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,14,1,1,イントゥゴールデン,牡2,53,遠藤汰月,1:58.4,1,14-15-14-13,39.4,507.6,15,474(+20),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,15,7,13,メイクイット,牝2,55,菅原明良,1:59.2,5,7-7-9-12,42.0,93.2,10,516(+8),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050104,,,1800,ダート,良,16,2,4,ミクニフラッシュ,牡2,56,荻野極,2:04.0,大,3-6-15-16,44.4,28.4,6,486(0),2025,06,05,01,04,3:410,3:160|9:250|8:130,3 - 9:3100,3 → 9:4700,3 - 9:800|3 - 8:270|8 - 9:600,3 - 8 - 9:2290,3 → 9 → 8:14380
202506050107,,,1200,ダート,良,1,5,9,タイセイピューマ,牡4,55,石田拓郎,1:11.2,,4-4,36.5,15.2,5,492(-2),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,2,3,5,ピコテンダー,牝3,54,津村明秀,1:11.2,クビ,2-2,37.1,1.5,1,486(-2),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,3,3,6,ラヴァグロウ,牝5,56,佐々木大,1:11.9,4,8-8,36.5,14.9,4,458(+4),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,4,2,3,パシーヴ,牡3,57,鮫島克駿,1:12.1,1.1/2,4-4,37.4,7.7,3,480(+14),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,5,6,11,ブエナディオサ,牝6,56,柴田善臣,1:12.3,1.1/2,6-6,37.3,44.8,9,470(+2),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,6,8,15,アイスブレイカー,牡4,58,嶋田純次,1:12.4,クビ,11-13,36.8,37.6,8,492(-8),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,7,6,12,ベニシア,牝4,56,柴田大知,1:12.4,アタマ,11-10,36.8,103.6,11,444(+4),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,8,2,4,アカツキロットリー,牡5,58,野中悠太,1:12.7,1.3/4,8-7,37.4,365.7,14,496(+6),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,9,4,7,カップッチョ,牡8,58,内田博幸,1:12.7,アタマ,11-10,37.1,176.7,12,506(+16),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,10,7,14,フォクシー,牝4,56,小林凌大,1:12.8,1/2,14-13,36.8,419.9,15,416(+12),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,11,4,8,カガバベル,牡3,55,長浜鴻緒,1:13.0,1.1/4,15-13,36.9,56.4,10,520(+16),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,12,5,10,ブルーリヴァーサル,牡5,58,的場勇人,1:13.2,1.1/4,16-16,36.5,580.6,16,454(+8),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,13,8,16,エポカスピーガ,牝3,55,松岡正海,1:13.5,1.1/2,1-1,39.6,19.6,6,490(0),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,14,7,13,ハジメテノチュウ,牡6,58,小林脩斗,1:13.5,ハナ,10-12,38.0,249.9,13,544(+30),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,15,1,2,グッドヴァイブス,牡4,58,三浦皇成,1:14.0,2.1/2,2-2,40.0,6.2,2,490(+8),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
202506050107,,,1200,ダート,良,16,1,1,オメガストリーム,牝3,55,木幡巧也,1:14.0,クビ,6-8,38.9,23.1,7,462(+6),2025,06,05,01,07,9:1520,9:200|5:110|6:220,5 - 9:870,9 → 5:3710,5 - 9:330|6 - 9:980|5 - 6:320,5 - 6 - 9:1970,9 → 5 → 6:20710
race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202506050101,,,1200,ダート,良,1,4,6,ビップムーラン,牝2,55,戸崎圭太,1:12.2,,1-1,37.2,1.7,1,460(0),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,2,3,5,アンバサダネージュ,牡2,53,佐藤翔馬,1:12.3,1/2,2-2,37.0,9.0,4,498(+8),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,3,7,13,コウユーニポポニコ,牝2,55,木幡初也,1:13.4,7,8-7,37.8,77.0,9,454(+10),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,4,5,8,リケアペンネ,牝2,55,野中悠太,1:13.5,クビ,10-10,37.5,333.8,13,444(+20),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,5,3,4,タイセイガナール,牡2,54,長浜鴻緒,1:13.9,2.1/2,9-7,38.2,14.4,6,476(+4),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
202506050101,,,1200,ダート,良,6,7,12,エルドラド,牡2,56,原田和真,1:14.0,クビ,2-2,38.7,202.9,11,474(+6),2025,06,05,01,01,6:170,6:110|5:240|13:690,5 - 6:720,6 → 5:1010,5 - 6:290|6 - 13:1530|5 - 13:3500,5 - 6 - 13:6870,6 → 5 → 13:21570
